"1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
1161.70001363754,1083.80001354218,1375.60003376007,1892.80002373457,1373.40003091097,1299.70001077652,1397.00000190735,1780.50005912781,1901.60004389286,1677.60001897812,1900.60005760193,1562.90000915527,1928.90000963211,1597.90003681183,1628.99999475479,1435.70003414154,1665.90005111694,1951.89999485016,1493.20002365112,1891.70003318787,1964.4000711441,1833.50003242493,1868.70003890991,1789.10003423691,1529.90001487732,2113.80005836487,1833.40005064011,1660.90004825592,1879.10005569458,1535.90002059937,1497.20004701614,1756.30003261566,1548.20003986359,1962.70005321503,1681.20000839233,1819.90000247955,1698.20000839233,1576.20001792908,1774.50002861023,1569.70002555847,1816.20004463196,1650.50006198883,1520.50001049042,1984.80002307892,1817.50003814697,1911.6000161171,1675.40003585815,1660.60003566742,1646.00002288818,1613.70002365112,1633.60000991821,1656.79999256134,1637.40003395081,1522.80000162125,1568.90002655983,1684.40003252029,1471.4000082016,1495.2000592947,1610.70003986359,1642.7000541687,1723.70003604889,1402.80001163483,1571.50004172325,1577.7000169754,1568.90002059937,1638.30001354218,1464.20001506805,1768.70004177094,1336.20003700256,1698.40002441406,2045.80006217957,1592.00003576279,1933.50001192093,1445.50001859665,1684.8000202179,1483.40003728867,1426.60000514984,2030.60003376007,1593.00004386902,1466.40002346039,1592.80004930496,1693.00001716614,1547.70004272461,1588.00002622604,1565.00001907349,1978.80005049706,1420.00003290176,1337.9000068903,1360.40001153946,1672.90002250671,1501.90000247955,1295.10003662109,1585.70003795624,1964.30003547668,1521.10002231598,1657.80003547668,1721.60003757477,1498.50001239777,1713.50002384186,1511.59999847412,1771.10002613068,1705.20001029968,1466.30003023148,1403.50004005432,1600.80002212524,1427.70004987717,1465.00002765656,1867.80005073547,1281.70001268387,1343.40001392365,1385.3000164032,1640.80002593994,1563.20001792908,1577.70001792908,1768.70004272461,1571.60003471375,1729.3000421524,1738.10004043579,1336.10000610352,1265.40003585815
1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1913.70002746582,1942.20001983643,1918.70004653931,1924.40005111694,1938.90006256104,1913.90005111694,1956.40003585815,1937.50004959106,1910.80004882812,1941.80005264282,1914.10000991821,1913.50002670288,1934.90005111694,1923.40005111694,1915.600025177,1924.60006713867,1916.70004272461,1903.20002365112,1929.30006027222,1921.80003738403,1916.50002288818,1940.40003204346,1943.10000610352,1933.50005340576,1949.20003128052,1911.40003585815,1904.00002670288,1920.90004730225,1923.60005950928,1907.80005264282,1925.60000991821,1924.90004348755,1931.30004501343,1951.40005874634,1937.80000305176,1924.20002365112,1909.60001754761,1916.80002593994,1927.1000328064,1934.00003433228,1935.00006103516,1931.20003890991,1915.90003967285,1911.60001373291,1914.30004119873,1923.40002059937,1925.90003585815,1896.50003051758,1907.80005264282,1996.6000328064,1987.30004501343,1899.1000213623,1945.30003738403,1997.20003128052,1880.70003890991,1910.1000328064,1899.30003738403,1887.70002365112,1880.30002975464,1973.10004043579,1884.90003585815,1990.50004959106,1922.50004196167,2008.80004119873,1947.09999847412,1891.20002365112,1875.10004806519,1940.30003356934,1876.80000686646,1932.50003814697,1962.100025177,1927.30002593994,1953.40003585815,1903.50003051758,1910.100025177,1966.60000610352,1874.30002975464,1979.00001907349,1909.89999389648,2000.30003356934,1904.70004272461,1906.00002288818,1880.200050354,1966.20003509521,1971.20000457764,1953.40003204346,1959.1000213623,1982.50002288818,2127.50002670288,1954.50005722046,1972.80003356934,1992.10001373291,1902.30004501343,1868.10001754761,1981.20003509521,1939.10003662109,1956.40004730225,1988.80005264282,1954.70002365112,1910.90005111694,2031.60006332397,2061.0000038147,1966.20003509521,1922.70002365112,1929.50002670288,1972.80002975464,1987.30002593994,1905.100025177,1955.50003051758,1987.9999961853
1977.30003929138,2056.90005970001,2004.90002667904,1794.50004386902,1908.30002403259,1845.3000652194,1700.10003948212,2058.70004147291,1862.60009527206,2195.90002727509,2366.70002865791,2021.60005569458,2234.90004014969,1743.80003833771,2333.50002002716,1969.10003232956,2043.90004938841,1921.30003577471,2049.50006389618,1740.90004396439,2312.70005226135,1922.60003995895,1958.40005946159,2311.20007932186,1963.10002279282,1852.00004005432,2329.30003470182,2068.70001459122,1974.40005111694,2053.80004072189,2015.40005302429,2214.90003967285,1805.70005130768,2273.30004310608,1985.10006856918,2105.20002555847,1655.60002064705,2296.60002660751,1796.20003628731,1917.7000079155,2059.80001544952,1896.30004805326,2068.30002737045,1795.7000246048,2057.30002593994,2000.90002894402,2253.90010261536,2402.20004320145,2172.50004482269,2009.90003299713,2159.10001516342,2031.50003862381,2093.4000287056,2061.60005843639,2063.89999866486,1862.70007514954,1808.50004577637,1946.60004377365,2057.40004968643,1673.49999952316,1713.80001354218,1805.80002450943,1826.00004649162,2070.00005245209,1792.40005922318,2053.80003070831,1663.90000462532,1859.60005867481,1731.60001277924,2369.60000687838,1866.60004615784,1598.09999799728,2195.2000207901,2050.69999074936,2020.30004358292,1640.60003471375,2145.00001049042,1691.50004607439,1847.80005693436,1813.40003716946,1803.50004768372,1700.50002932549,1888.5000371933,1804.30005168915,1783.00003433228,1791.50004959106,2008.30003261566,2486.80000686646,1776.10002756119,2176.80001354218,2255.50004577637,1814.60001134872,2121.00002408028,1674.30003583431,2052.90002918243,1870.70001429319,1777.600025177,2191.50002944469,1744.70003199577,1981.80005705357,1980.00002741814,1868.10001945496,1779.60005950928,1986.70003318787,1649.90004730225,1669.20005595684,1977.10003376007,2071.20002985001,1724.70004272461,2220.30002009869,1622.20002603531,1962.70003700256,1858.70000445843,1475.00001347065,1938.10005569458,1773.10002660751,1977.5000140667,1574.00005054474,1627.70001983643,2057.60005491972
1896.80004882812,1902.60002303123,1910.40003323555,1702.70001554489,1849.80002689362,1751.80003094673,1596.50004482269,1938.00003838539,1760.70004606247,2079.30004024506,2229.10005640984,1894.20002841949,2067.00000286102,1678.10001277924,2162.70004749298,1857.00004768372,1912.60003018379,1831.40004909039,1950.30004835129,1683.60001850128,2121.40002346039,1862.00005435944,1829.80001449585,2187.50004506111,1844.90005755424,1771.60002326965,2196.2000477314,1938.20003390312,1867.40004253387,1947.00005340576,1851.50002527237,2053.30004310608,1710.19999837875,2145.50000572205,1873.10005187988,1977.00001144409,1584.90002846718,2173.20001602173,1739.00001859665,1835.90002036095,1951.00002193451,1786.70005393028,1923.20002269745,1701.7000541687,1927.70004653931,1923.40003454685,2097.10003662109,2215.3000254631,2019.10001468658,1888.40003538132,2076.00000953674,1916.60002279282,1990.00001430511,1906.7000079155,1962.200050354,1767.80004930496,1696.40006446838,1821.80002975464,1961.00002336502,1633.90001249313,1622.50004959106,1637.40003395081,1737.30003809929,1997.40002727509,1691.30001115799,1923.70001411438,1655.50000548363,1777.50004291534,1676.00002980232,2256.10003066063,1703.70002317429,1536.80003595352,2050.80003833771,1978.80002737045,1864.10003376007,1648.40000367165,1967.40004825592,1565.10000479221,1796.60000658035,1685.4000658989,1677.80003166199,1710.90004920959,1895.40005111694,1742.80001735687,1654.30002212524,1685.90001344681,1910.5999956131,2310.70003795624,1731.80000782013,2049.39998340607,2052.50005531311,1713.10005998611,1998.20003736019,1611.30005431175,1922.50003385544,1751.10005497932,1717.40003108978,2051.70006299019,1671.30003023148,1862.20002412796,1879.50002741814,1746.4000082016,1647.00003433228,1878.90003395081,1547.60003757477,1534.30005908012,1847.10003805161,1887.40003204346,1695.2000336647,2041.500030756,1578.7000246048,1862.00000953674,1709.00003528595,1434.20005607605,1828.9000377655,1718.60003232956,1878.60002565384,1538.80001544952,1559.80003619194,1959.30006718636
1896.80004882812,1902.60002303123,1910.40003323555,1702.70001554489,1849.80002689362,1751.80003094673,1596.50004482269,1938.00003838539,1760.70004606247,2079.30004024506,2229.10005640984,1894.20002841949,2067.00000286102,1678.10001277924,2162.70004749298,1857.00004768372,1912.60003018379,1831.40004909039,1950.30004835129,1683.60001850128,2121.40002346039,1862.00005435944,1829.80001449585,2187.50004506111,1844.90005755424,1771.60002326965,2196.2000477314,1938.20003390312,1867.40004253387,1947.00005340576,1851.50002527237,2053.30004310608,1710.19999837875,2145.50000572205,1873.10005187988,1977.00001144409,1584.90002846718,2173.20001602173,1739.00001859665,1835.90002036095,1951.00002193451,1786.70005393028,1923.20002269745,1701.7000541687,1927.70004653931,1923.40003454685,2097.10003662109,2215.3000254631,2019.10001468658,1888.40003538132,2076.00000953674,1916.60002279282,1990.00001430511,1906.7000079155,1962.200050354,1767.80004930496,1696.40006446838,1821.80002975464,1961.00002336502,1633.90001249313,1622.50004959106,1637.40003395081,1737.30003809929,1997.40002727509,1691.30001115799,1923.70001411438,1655.50000548363,1777.50004291534,1676.00002980232,2256.10003066063,1703.70002317429,1536.80003595352,2050.80003833771,1978.80002737045,1864.10003376007,1648.40000367165,1967.40004825592,1565.10000479221,1796.60000658035,1685.4000658989,1677.80003166199,1710.90004920959,1895.40005111694,1742.80001735687,1654.30002212524,1685.90001344681,1910.5999956131,2310.70003795624,1731.80000782013,2049.39998340607,2052.50005531311,1713.10005998611,1998.20003736019,1611.30005431175,1922.50003385544,1751.10005497932,1717.40003108978,2051.70006299019,1671.30003023148,1862.20002412796,1879.50002741814,1746.4000082016,1647.00003433228,1878.90003395081,1547.60003757477,1534.30005908012,1847.10003805161,1887.40003204346,1695.2000336647,2041.500030756,1578.7000246048,1862.00000953674,1709.00003528595,1434.20005607605,1828.9000377655,1718.60003232956,1878.60002565384,1538.80001544952,1559.80003619194,1959.30006718636
1896.80004882812,1902.60002303123,1910.40003323555,1702.70001554489,1849.80002689362,1751.80003094673,1596.50004482269,1938.00003838539,1760.70004606247,2079.30004024506,2229.10005640984,1894.20002841949,2067.00000286102,1678.10001277924,2162.70004749298,1857.00004768372,1912.60003018379,1831.40004909039,1950.30004835129,1683.60001850128,2121.40002346039,1862.00005435944,1829.80001449585,2187.50004506111,1844.90005755424,1771.60002326965,2196.2000477314,1938.20003390312,1867.40004253387,1947.00005340576,1851.50002527237,2053.30004310608,1710.19999837875,2145.50000572205,1873.10005187988,1977.00001144409,1584.90002846718,2173.20001602173,1739.00001859665,1835.90002036095,1951.00002193451,1786.70005393028,1923.20002269745,1701.7000541687,1927.70004653931,1923.40003454685,2097.10003662109,2215.3000254631,2019.10001468658,1888.40003538132,2076.00000953674,1916.60002279282,1990.00001430511,1906.7000079155,1962.200050354,1767.80004930496,1696.40006446838,1821.80002975464,1961.00002336502,1633.90001249313,1622.50004959106,1637.40003395081,1737.30003809929,1997.40002727509,1691.30001115799,1923.70001411438,1655.50000548363,1777.50004291534,1676.00002980232,2256.10003066063,1703.70002317429,1536.80003595352,2050.80003833771,1978.80002737045,1864.10003376007,1648.40000367165,1967.40004825592,1565.10000479221,1796.60000658035,1685.4000658989,1677.80003166199,1710.90004920959,1895.40005111694,1742.80001735687,1654.30002212524,1685.90001344681,1910.5999956131,2310.70003795624,1731.80000782013,2049.39998340607,2052.50005531311,1713.10005998611,1998.20003736019,1611.30005431175,1922.50003385544,1751.10005497932,1717.40003108978,2051.70006299019,1671.30003023148,1862.20002412796,1879.50002741814,1746.4000082016,1647.00003433228,1878.90003395081,1547.60003757477,1534.30005908012,1847.10003805161,1887.40003204346,1695.2000336647,2041.500030756,1578.7000246048,1862.00000953674,1709.00003528595,1434.20005607605,1828.9000377655,1718.60003232956,1878.60002565384,1538.80001544952,1559.80003619194,1959.30006718636
2073.90007019043,1872.30004906654,2028.30004048347,1943.20001792908,2112.10001182556,1889.8000228405,1694.10004138947,1946.8000228405,1876.00002336502,2228.10002326965,2456.40008091927,2020.50004148483,2322.50001811981,1859.50002861023,2317.5000462532,2069.50000429153,2076.20004677773,1882.80003166199,2036.7000079155,1876.40005350113,2231.60005092621,2005.80005645752,1989.40003681183,2270.50004839897,1940.00002074242,1825.60004615784,2314.30006957054,1922.9000453949,2098.40002918243,2070.10004091263,1827.70001578331,2204.20003890991,1756.60003948212,2398.10002756119,1934.90002965927,2110.40001964569,1703.40003204346,2314.50001454353,1950.80004048347,2156.20002770424,2239.40010595322,1927.5000436306,2090.00002241135,1729.00000095367,1995.50003623962,2163.79998779297,2319.50003767014,2272.80005645752,2290.20002603531,1928.50004911423,2427.30001688004,2269.70000433922,2201.40002441406,2004.40003395081,2203.10008525848,2121.99999570847,1769.10001564026,1876.90003585815,2173.70000171661,1774.60000479221,1664.70004534721,1674.80004096031,1752.30002009869,2178.40005111694,1878.90004134178,1981.50003433228,1755.00003862381,1970.20004916191,1848.40004992485,2481.70001411438,1519.10002446175,1562.10004496574,2173.90005397797,2210.00003504753,2019.00003743172,1981.90003561974,2120.90002584457,1538.90001380444,1990.5000538826,1701.60004973412,1849.500020504,1894.80002236366,2045.40002632141,2024.60004997253,1904.70004749298,1892.70001173019,2274.00004005432,2498.40002584457,1765.70004796982,2273.60006046295,2081.20004749298,1664.1000328064,2181.80002307892,1669.5000436306,1930.30006170273,1780.00001573563,1777.00004196167,2113.80003249645,1774.80004739761,2049.20005702972,1882.50001597404,1841.60004758835,1719.20003938675,1913.7000617981,1517.40001487732,1526.70000982285,1895.90005707741,1794.40003299713,1626.60004997253,2007.50004649162,1570.60003185272,1898.20001792908,1589.40003478527,1464.10005927086,1878.10001087189,1710.40002632141,2107.10005223751,1508.30004358292,1591.10001087189,1896.40004897118
5396.40013480186,4635.80001091957,5397.90018010139,5086.90008616447,6078.60018968582,4626.50007152557,3965.90008544922,5243.10017786175,4801.30008602142,6105.60021448135,7260.50010166317,4949.30015444756,6189.70020079613,5079.50019741058,6321.80010090023,5268.30007833242,5248.80009460449,5118.70018962026,5572.00016772747,5086.20008563995,5995.30010938644,5787.6001625061,4962.60015459359,6602.90023303032,5373.60008335114,4684.50012230873,6688.9001159668,4721.60013637692,5733.5001590848,5107.60009080172,4591.80011367798,5790.30007123947,4519.70005559921,7152.00002765656,5076.49998688698,5843.70021438599,4201.0001205951,6691.10015356541,5062.50007432699,6001.40003186464,6323.40007960796,5222.80010604858,5511.50009274483,4182.90009093285,5075.00015223026,5874.40008401871,6282.30006152391,6215.20007252693,6399.90012955666,4937.60005340725,6521.20013570786,6528.70014420152,5883.90010499954,5276.10011596978,5555.60016489029,5897.00011253357,4665.10003089905,4529.89996433258,5640.10014206171,4706.60007572174,4149.3000266552,4284.30013471842,4895.4000480175,5694.80010014772,5019.30004882812,5125.10005760193,4684.90010929108,5245.30015087128,4874.40003784001,6537.10014458001,3702.20010399818,4114.90007257462,5719.30018615723,5844.20005476475,5368.10012829304,5108.60007727146,5365.90016460419,4393.20008450747,5345.70008230209,4418.00009560585,4837.39998090267,4995.30013537407,5359.30005931854,5973.00008678436,4733.9000544548,5008.80013036728,6263.10013866425,6959.90014028549,4370.80003976822,5676.80009365082,5464.80007171631,4125.20000696182,5852.60015354306,3869.10007882118,5176.0001128912,4505.50004029274,4588.5999994278,5391.90010261536,4917.30004890263,5350.10007250309,5032.40003023297,4768.20003128052,4560.2000412941,4848.30002117157,3790.80006432533,3434.30005931854,4798.10013590008,4491.2000207901,3671.5000475049,5209.90010261536,3366.50008106232,4531.70000040531,4057.90011407435,3822.90010225773,5132.60009860992,4376.30002880096,5717.30007821321,3792.20013600588,4238.1000725776,5231.40016365051
5396.40013480186,4635.80001091957,5397.90018010139,5086.90008616447,6078.60018968582,4626.50007152557,3965.90008544922,5243.10017786175,4801.30008602142,6105.60021448135,7260.50010166317,4949.30015444756,6189.70020079613,5079.50019741058,6321.80010090023,5268.30007833242,5248.80009460449,5118.70018962026,5572.00016772747,5086.20008563995,5995.30010938644,5787.6001625061,4962.60015459359,6602.90023303032,5373.60008335114,4684.50012230873,6688.9001159668,4721.60013637692,5733.5001590848,5107.60009080172,4591.80011367798,5790.30007123947,4519.70005559921,7152.00002765656,5076.49998688698,5843.70021438599,4201.0001205951,6691.10015356541,5062.50007432699,6001.40003186464,6323.40007960796,5222.80010604858,5511.50009274483,4182.90009093285,5075.00015223026,5874.40008401871,6282.30006152391,6215.20007252693,6399.90012955666,4937.60005340725,6521.20013570786,6528.70014420152,5883.90010499954,5276.10011596978,5555.60016489029,5897.00011253357,4665.10003089905,4529.89996433258,5640.10014206171,4706.60007572174,4149.3000266552,4284.30013471842,4895.4000480175,5694.80010014772,5019.30004882812,5125.10005760193,4684.90010929108,5245.30015087128,4874.40003784001,6537.10014458001,3702.20010399818,4114.90007257462,5719.30018615723,5844.20005476475,5368.10012829304,5108.60007727146,5365.90016460419,4393.20008450747,5345.70008230209,4418.00009560585,4837.39998090267,4995.30013537407,5359.30005931854,5973.00008678436,4733.9000544548,5008.80013036728,6263.10013866425,6959.90014028549,4370.80003976822,5676.80009365082,5464.80007171631,4125.20000696182,5852.60015354306,3869.10007882118,5176.0001128912,4505.50004029274,4588.5999994278,5391.90010261536,4917.30004890263,5350.10007250309,5032.40003023297,4768.20003128052,4560.2000412941,4848.30002117157,3790.80006432533,3434.30005931854,4798.10013590008,4491.2000207901,3671.5000475049,5209.90010261536,3366.50008106232,4531.70000040531,4057.90011407435,3822.90010225773,5132.60009860992,4376.30002880096,5717.30007821321,3792.20013600588,4238.1000725776,5231.40016365051
1963.50006151199,1885.70003843307,1961.60001945496,1825.40003061295,1986.00002861023,1832.8000433445,1670.40003108978,1954.00003647804,1823.90000867844,2112.40005302429,2300.30004644394,1944.30002212524,2155.90002536774,1773.80007457733,2178.20003414154,1939.40003919601,1982.60002589226,1863.30001163483,2017.50004577637,1799.90002298355,2145.60003566742,1946.50001764297,1905.60004425049,2199.10001039505,1898.30001330376,1816.50004673004,2215.80002713203,1935.3000330925,1959.29999303818,1985.40003156662,1842.30002117157,2092.60004997253,1767.50003242493,2222.20005178452,1922.80001735687,2026.50002288818,1678.50005483627,2208.00006628036,1851.49999761581,1972.70000982285,2048.10003852844,1864.10000252724,1980.50004339218,1746.30002975464,1954.20003032684,2012.50002193451,2128.70003843307,2201.20001220703,2099.30002498627,1904.50001907349,2207.50002908707,2047.8000202179,2070.00002813339,1942.60003566742,2047.20002937317,1923.10004329681,1785.40004444122,1879.50003242493,2034.69999265671,1762.60003232956,1657.90000391006,1719.80002975464,1798.399995327,2055.00003051758,1789.40001964569,1963.60005187988,1738.49998426437,1864.40001726151,1784.40001726151,2332.40007090569,1705.3000254631,1643.10000133514,2072.69999313354,2033.90005540848,1967.09999370575,1790.60005378723,1997.70005226135,1623.50006937981,1915.09999513626,1731.30001497269,1752.00004673004,1814.60006332397,1931.50004863739,1874.80002784729,1746.70001506805,1811.50002908707,2054.60003185272,2349.60001850128,1789.70005750656,2124.20003032684,2052.50004959106,1762.20006752014,2061.50003671646,1670.99999713898,1941.7000451088,1784.30003142357,1762.90003108978,2053.70005536079,1756.20000553131,1949.9000415802,1884.30001831055,1812.00002384186,1722.70003032684,1903.80004501343,1589.90002918243,1598.40000963211,1868.70001220703,1867.20002126694,1731.00003051758,1994.70004558563,1644.8000421524,1897.3000254631,1714.20003700256,1537.90006542206,1861.99999713898,1749.10003519058,1947.10002279282,1585.20004558563,1633.30001783371,1954.00002932549
